Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Traffic Type
2025-10-02 18:06:37,13.89.179.8,10.132.143.86,TCP,443,51653,66,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,66,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,54,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,571,HTTPS
2025-10-02 18:06:37,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,54,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,153,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,398,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,54,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,1334,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,1334,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,54,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,1334,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,388,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,54,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,669,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51648,54,HTTPS
2025-10-02 18:06:37,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,54,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,513,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,54,HTTPS
2025-10-02 18:06:37,140.82.114.21,10.132.143.86,TCP,443,51649,54,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,1334,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,237,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,54,HTTPS
2025-10-02 18:06:37,13.107.5.93,10.132.143.86,TCP,443,51655,884,HTTPS
2025-10-02 18:06:37,10.132.143.86,13.107.5.93,TCP,51655,443,54,HTTPS
2025-10-02 18:06:37,140.82.114.22,10.132.143.86,TCP,443,51646,66,HTTPS
2025-10-02 18:06:37,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:37,140.82.114.22,10.132.143.86,TCP,443,51627,66,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.189.172.73,TCP,51656,443,66,HTTPS
2025-10-02 18:06:37,10.132.143.86,20.189.172.73,TCP,51657,443,66,HTTPS
